"CrimeRate","Indus","River","AvgRoom","Age","Tax","PTRatio","LStat","MedPrice"
3.69311,18.1,0,6.376,88,666,20.2,14.65,17.7
8.71675,18.1,0,6.471,99,666,20.2,17.12,13.1
0.43571,10.59,1,5.344,100,277,18.6,23.09,20
5.70818,18.1,0,6.75,75,666,20.2,7.74,23.7
1.6566,19.58,0,6.122,97,403,14.7,14.1,21.5
0.10084,10.01,0,6.715,82,432,17.8,10.16,22.8
0.04417,2.24,0,6.871,47,358,14.8,6.07,24.8
0.14866,8.56,0,6.727,80,384,20.9,9.42,27.5
0.35233,21.89,0,6.454,98,437,21.2,14.59,17.1
0.01432,1.32,0,6.816,41,256,15.1,3.95,31.6
0.57529,6.2,0,8.337,73,307,17.4,2.47,41.7
0.07165,25.65,0,6.004,84,188,19.1,14.27,20.3
0.22969,10.59,0,6.326,53,277,18.6,10.97,24.4
3.1636,18.1,0,5.759,48,666,20.2,14.13,19.9
1.41385,19.58,1,6.129,96,403,14.7,15.12,17
0.11329,4.93,0,6.897,54,300,16.6,11.38,22
4.81213,18.1,0,6.701,90,666,20.2,16.42,16.4
